timestamp,cpuUsage,memoryUsage,temperature,cameraLatency,sensorLatency,networkLatency,storageWriteLatency,wifiConnected,packetLossEstimate,source
2026-03-19T09:20:00.000Z,31.4,43.2,51.8,12.9,4.2,41.5,11.3,true,0,simulation
2026-03-19T09:20:10.000Z,29.7,43.8,52.0,13.6,5.1,38.7,12.1,true,0,simulation
2026-03-19T09:20:20.000Z,33.1,44.0,52.3,14.0,4.7,42.3,11.8,true,0,simulation
2026-03-19T09:20:30.000Z,27.4,44.3,52.1,13.2,4.5,39.8,12.4,true,0,simulation
2026-03-19T09:20:40.000Z,35.8,43.9,52.6,15.1,5.0,44.1,13.0,true,0,simulation
2026-03-19T09:20:50.000Z,30.2,44.7,52.4,13.8,4.8,40.2,11.6,true,0,simulation
2026-03-19T09:21:00.000Z,28.9,45.1,52.7,14.5,4.6,43.9,12.7,true,0,simulation
2026-03-19T09:21:10.000Z,32.6,44.5,52.9,13.1,5.3,37.4,11.2,true,0,simulation
2026-03-19T09:21:20.000Z,26.3,44.8,53.0,15.8,4.9,45.6,12.9,true,0,simulation
2026-03-19T09:21:30.000Z,34.0,45.3,52.8,14.2,4.4,41.1,13.5,true,0,simulation
2026-03-19T09:21:40.000Z,29.1,45.6,52.5,13.7,5.2,39.5,12.2,true,0,simulation
2026-03-19T09:21:50.000Z,31.5,45.0,52.3,14.9,4.7,43.0,27.8,true,0,simulation
2026-03-19T09:22:00.000Z,27.8,44.9,52.1,12.8,4.3,40.8,31.4,true,0,simulation
2026-03-19T09:22:10.000Z,36.2,45.2,52.4,15.3,5.0,44.7,34.1,true,1.1,simulation
2026-03-19T09:22:20.000Z,30.7,44.6,52.6,14.0,4.6,38.9,33.8,true,0.9,simulation
2026-03-19T09:22:30.000Z,28.4,44.3,52.8,13.5,4.8,42.1,28.3,true,0,simulation
2026-03-19T09:22:40.000Z,33.9,45.4,53.0,14.7,5.1,41.3,13.2,true,0,simulation
2026-03-19T09:22:50.000Z,31.2,45.1,53.1,13.9,4.5,39.7,12.6,true,0,simulation
2026-03-19T09:23:00.000Z,29.5,44.8,53.0,14.3,5.0,40.5,11.9,true,0,simulation
2026-03-19T09:23:10.000Z,28.3,44.7,53.2,14.2,4.8,38.4,11.4,true,0,simulation
